,Organizations,Technologies,Slots,Ideas Page,Contact
167,Shaka Player,"javascript,  python, ui/ux, video codecs, web development",2,https://storage.googleapis.com/wvtemp/shaka/Shaka%20Player%20GSoC%20Projects%20List.pdf,https://groups.google.com/g/shaka-player-users
168,Software Heritage," python, postgresql, django, git, elasticsearch",2,https://wiki.softwareheritage.org/wiki/Google_Summer_of_Code_2021,https://www.softwareheritage.org/community/developers/
169,SPDX,"python, java, rdf, golang, json",4,https://wiki.spdx.org/view/GSOC/GSOC_ProjectIdeas,https://gitter.im/spdx-org/Lobby
170,STE||AR Group,"c++, python, boost",2,https://github.com/STEllAR-GROUP/hpx/wiki/Google-Summer-of-Code-%28GSoC%29-2021,https://github.com/STEllAR-GROUP/hpx/blob/master/.github/SUPPORT.md
171,strace,"linux, c, git,  shell script, make",1,https://strace.io/wiki/GoogleSummerOfCode2021,https://strace.io
172,Sugar Labs,"python gtk,  javascript,  react,  vue.js,  typescript",8,https://github.com/sugarlabs/GSoC/blob/master/Ideas-2021.md,https://wiki.sugarlabs.org/go/Google_Code_In_2019#Getting_set_up_on_IRC
173,Swift,"swift, c++, llvm",5,https://swift.org/gsoc2021/,http://forums.swift.org
174,SymbiFlow,"fpga,  python, c/c++, verilog",1,https://docs.google.com/document/d/1owUOIe1ySb2JB6qIiEGsL8N5L6ggP27jbhCJrPAbIvM/edit,https://webchat.freenode.net/?channels=symbiflow
175,SymPy, python,6,https://github.com/sympy/sympy/wiki/GSoC-Ideas,https://gitter.im/sympy/sympy
176,Synfig,"c++11, gtk, gtkmm,  python",0,https://synfig-docs-dev.readthedocs.io/en/latest/gsoc/2021/ideas.html,https://forums.synfig.org/c/development
177,syslog-ng,"elasticsearch, kafka, sql, python, c",2,https://github.com/syslog-ng/syslog-ng/wiki/GSoC2021-Idea-&-Project-list,https://gitter.im/balabit/syslog-ng
178,Tarantool,"c, lua, sql",3,https://github.com/tarantool/tarantool/wiki/GSoC-2021,https://t.me/joinchat/IUUJgVz-9_q_8xsD
179,TARDIS SN,"python, jupyter, numba, pandas, numpy",3,https://tardis-sn.github.io/gsoc/category/ideas-page.html,http://gitter.im/tardis-sn/gsoc
180,TensorFlow,"python deep learning frameworks,  javascript, c/c++",17,http://goo.gle/tf-gsoc-2021,https://github.com/tensorflow/community
181,The Apache Software Foundation,"java,  c++, c, rust",28,https://s.apache.org/gsoc2021ideas,https://wiki.apache.org/general/IRC
182,The ENIGMA Team,"c++, opengl, qt5,  android",2,https://enigma-dev.org/tracker/gsoc.php,https://discord.gg/XTzB43C
183,The Honeynet Project,"django, c, python, docker, c++",11,https://www.honeynet.org/gsoc/gsoc-2021/google-summer-of-code-2021-project-ideas/,https://gsoc-slack.honeynet.org/
184,The Julia Language,"julia, julialang",20,https://julialang.org/jsoc/projects/,https://julialang.org/community/#official_channels
185,The Libreswan Project,"c,  python, kvm, namespaces",1,https://libreswan.org/wiki/GSoC,https://libreswan.org/wiki/GSoC
186,The Linux Foundation,"c, c++, cups, ipp, linux",18,https://wiki.linuxfoundation.org/gsoc/google-summer-code-2021,https://wiki.linuxfoundation.org/gsoc/google-summer-code-2021#if_you_have_questions
187,The LLVM Compiler Infrastructure,"llvm, c/c++, clang, mlir",16,http://llvm.org/OpenProjects.html,http://llvm.org/docs/#irc
188,The NetBSD Foundation," c,  bsd unix, make,  shell script",0,https://wiki.NetBSD.org/projects/gsoc/,https://wiki.NetBSD.org/community/
189,The ns-3 Network Simulator Project,"c++, python 3",3,https://www.nsnam.org/wiki/GSOC2021Projects,https://www.nsnam.org/develop/tools/chat/
190,The Palisadoes Foundation,"flutter, mongodb, node.js, graphql, javascript",5,http://www.palisadoes.org/gsoc/ideas/,http://www.palisadoes.org/gsoc/
191,The R Project for Statistical Computing,"r-project, c/c++, fortran,  javascript",21,https://github.com/rstats-gsoc/gsoc2021/wiki/table-of-proposed-coding-projects,https://groups.google.com/g/gsoc-r
192,The Terasology Foundation,"java, opengl, gradle, lwjgl, kotlin",4,https://trello.com/b/5QQGHuTt/gsoc-gsod-ideas,https://discord.gg/terasology
193,TianoCore,"uefi, c,  python, rust, golang",5,https://github.com/tianocore/tianocore.github.io/wiki/Tasks,https://edk2.groups.io/g/devel
194,VideoLAN,"c, c++, machine learning, video codecs, audio",9,https://wiki.videolan.org/SoC_2021/,https://www.videolan.org/contact.html
195,vitrivr,"java, kotlin,  typescript, angular, tensorflow",2,https://vitrivr.org/gsoc.html,http://vitrivr.slack.com
196,Wikimedia Foundation,"php,  javascript,  html,  css,  python",10,https://www.mediawiki.org/wiki/Google_Summer_of_Code/2021,https://wikimedia.zulipchat.com/#narrow/stream/274201-gsoc21-outreachy22
197,Xfce,"gtk,  c, python, vala,  javascript",2,https://wiki.xfce.org/projects/gsoc/start,https://docs.xfce.org/contribute/dev/start
198,Xiph.Org Foundation,"rust, c language, assembly, x86, arm",3,https://wiki.xiph.org/Summer_of_Code_2021,https://xiph.org/contact/
199,xrdesktop,"glib, openxr, vulkan, c, wayland",2,https://gitlab.freedesktop.org/xrdesktop/xrdesktop/-/wikis/Google-Summer-of-Code-2021-Ideas,https://gitlab.freedesktop.org/xrdesktop/xrdesktop/-/wikis/Contact
200,XWiki," java,  javascript, html5, css3, velocity",1,https://gsoc.xwiki.org/,https://dev.xwiki.org/xwiki/bin/view/Community/Chat
201,Zulip,"python, react native, django, typescript, electron",18,https://zulip.readthedocs.io/en/latest/contributing/gsoc-ideas.html,https://zulip.readthedocs.io/en/latest/contributing/chat-zulip-org.html
