,Organizations,Technologies,Slots,Ideas Page,Contact
180,The Processing Foundation,"java,  javascript,  python,  android,  opengl",14,https://github.com/processing/processing/wiki/Project-List,https://forum.processing.org/two/categories/summer-of-code-2017
181,The Wine Project,"c,  opengl,  directx,  x11,  win32",0,http://wiki.winehq.org/SummerOfCode,http://www.winehq.org/irc
182,Tiled,"qt, c++, git, github",3,https://github.com/bjorn/tiled/wiki/GSoC-2017,https://gitter.im/bjorn/tiled
183,TimVideos,"python, verilog, fpga, vhdl, c",2,https://code.timvideos.us/summer-of-code/,https://webchat.freenode.net/?channels=#timvideos
184,Tor,"c,  python, javascript, c++",4,https://www.torproject.org/about/gsoc,https://www.torproject.org/about/contact#irc
185,UCSC Xena,"javascript, react, clojure, d3, python",1,https://github.com/ucscXena/ucsc-xena-client/wiki/Google-Summer-of-Code-Ideas,http://xena.ucsc.edu/#subscribe
186,"Urban Energy Systems Laboratory, Empa","python, gis, fast fluid dynamics",3,https://hues.empa.ch/index.php/HUES_GSoC_Projects_2017,mailto:andrew.bollinger@empa.ch
187,VideoLAN,"c++, c, opengl, qt, assembly",9,https://wiki.videolan.org/Google_Summer_of_Code_2017/,https://mailman.videolan.org/listinfo/vlc-devel
188,ViSP,"vision,  c++",1,https://github.com/lagadic/visp/wiki/GSoC_2017,https://visp.inria.fr
189,Wikimedia Foundation,"php , javascript ,  html ,  css ,  jquery",7,https://www.mediawiki.org/wiki/Google_Summer_of_Code_2017,https://www.mediawiki.org/wiki/Google_Summer_of_Code_2017#Contact
190,WorldBrain - Verifying the Internet with Science,"reactjs,  javascript",1,http://www.worldbrain.io/GSoC_ideas_list,http://join-worldbrain.herokuapp.com
191,WSO2,"soa, middleware, java, distributed computing, web services",9,https://docs.wso2.com/display/GSoC/Project+Proposals+for+2017,https://freenode.net/
192,wxWidgets,"c++, gtk+, win32, cocoa",2,http://www.wxwidgets.org/gsoc/projects/,http://www.wxwidgets.org/support/irc/
193,X.Org Foundation,"opengl, vulkan, x11, wayland, opencl",4,https://www.x.org/wiki/SummerOfCodeIdeas/,https://www.x.org/wiki/SummerOfCodeIdeas/
194,Xapian Search Engine Library,"c++, unicode, swig, linux, golang",3,https://trac.xapian.org/wiki/GSoCProjectIdeas,https://trac.xapian.org/wiki/GSoC_IRC
195,XBMC Foundation,"python, c++11, xml, git, drupal",3,http://kodi.wiki/view/Google_Summer_of_Code/2017,mailto:contact@kodi.tv
196,Xen Project,"linux, free/netbsd, asm/c/c++, qemu, ocaml",2,https://wiki.xenproject.org/wiki/2017-Summer-Internships,https://xenproject.org/help/irc.html
197,XMPP Standards Foundation,"xmpp, c++, java, erlang, javascript",2,https://xmpp.org/gsoc2017.html,https://mail.jabber.org/mailman/listinfo/gsoc
198,XWiki,"java,  javascript,  html5,  css3,  velocity",2,http://gsoc.xwiki.org/,http://dev.xwiki.org/xwiki/bin/view/Community/IRC
199,Zenodo,"python, postgresql, flask, angularjs, elasticsearch",2,https://github.com/zenodo/zenodo/wiki/Google-Summer-of-Code-2017#ideas-list,https://gitter.im/zenodo/zenodo
200,Zulip,"python, django, javascript, react native, electron",10,https://github.com/zulip/zulip.github.io/blob/master/gsoc-ideas.md,https://chat.zulip.org/
