,Organizations,Technologies,Slots,Ideas Page,Contact
180,TEAMMATES @ National University of Singapore," java, appengine, javascript",5,http://tinyurl.com/teammates-ideas,https://github.com/TEAMMATES/teammates#contacting-us
181,The Center for Connected Learning and Computer-Based Modeling," javascript, scala, html5/css3",2,https://github.com/NetLogo/NetLogo/wiki/Google-Summer-of-Code-Ideas-List,https://gitter.im/NetLogo/GSoC
182,The Eclipse Foundation,"php,  java, xtext, javascript, c/c++",7,https://wiki.eclipse.org/Google_Summer_of_Code_2018_Ideas,https://accounts.eclipse.org/mailing-list/soc-dev
183,The Honeynet Project,"python 3,  python, golang, c/c++, machine learning",17,https://honeynet.org/gsoc2018/ideas,https://gsoc-slack.honeynet.org/
184,The Java Pathfinder Team,"java, jvm, android, distributed systems",4,https://github.com/javapathfinder/jpf-core/wiki/GSoC-2018-Project-Ideas,https://groups.google.com/forum/#!forum/java-pathfinder
185,The Libreswan Project,"c, python,  shell script, qemu",3,https://libreswan.org/wiki/GSoC2018,https://libreswan.org/wiki/GSoC2018
186,The Linux Foundation,"c, c++, cups, ipp",12,https://wiki.linuxfoundation.org/gsoc/google-summer-code-2018,https://wiki.linuxfoundation.org/gsoc/google-summer-code-2018#if-you-have-questions
187,The MacPorts Project,"tcl, html/javascript, frontend, vue.js, react.js",0,https://trac.macports.org/wiki/SummerOfCode,https://www.macports.org/contact.php#IRC
188,The Mifos Initiative,"java, android, spring, angularjs, mysql",12,https://mifosforge.jira.com/wiki/spaces/RES/pages/225411076/Google+Summer+of+Code+2018+Ideas,https://gitter.im/openMF/mifos
189,The NetBSD Foundation,"c, bsd make",4,https://wiki.netbsd.org/projects/gsoc/,https://wiki.netbsd.org/community/
190,The ns-3 Network Simulator Project,"c/c++,  python",5,https://www.nsnam.org/wiki/GSOC2018Projects,https://ns-3.zulipchat.com
191,The Processing Foundation,"java, javascript, python, android, opengl",16,https://github.com/processing/processing/wiki/Project-List,https://forum.processing.org/two/categories/summer-of-code-2018
192,The Qt Project,"c++11, cpp, qt, qml, opengl",1,https://wiki.qt.io/Google_Summer_of_Code/2018/Project_Ideas,https://wiki.qt.io/IRC
193,The syslog-ng project.,"java, c/c++, big data, elasticsearch, rest",1,https://github.com/balabit/syslog-ng/wiki/GSoC2018-Idea-&-Project-list,https://gitter.im/balabit/syslog-ng
194,The Vega Visualization Tools by the UW Interactive Data Lab,"javascript, typescript, react, d3.js",2,https://docs.google.com/document/d/1YKBzT-aTrKGxA-G6ktzRSIC-ihc3JCWmNW5k7OL85nA/edit?usp=sharing,https://communityinviter.com/apps/vega-js/join
195,The Wine Project," directx,  x11,  win32, opengl, c",2,https://wiki.winehq.org/SummerOfCode,https://www.winehq.org/irc
196,TimVideos.us,"fpga, verilog, python, c",2,https://github.com/timvideos/getting-started/issues,http://webchat.freenode.net/?channels=%23timvideos&uio=d4
197,TLA+,"java, tla+, eclipse, ocaml, smt",1,https://github.com/tlaplus/tlaplus/blob/master/general/docs/contributions.md,https://groups.google.com/forum/#!forum/tlaplus
198,UCSC Xena," javascript, python, clojure, react, jvm",1,https://github.com/ucscXena/ucsc-xena-client/wiki/Google-Summer-of-Code-Ideas-2018,https://groups.google.com/forum/#!forum/xena-google-summer-of-code
199,VideoLAN,"c, c++, go, vue.js",10,https://wiki.videolan.org/SoC_2018/,https://www.videolan.org/support/
200,ViSP,c/c++,2,https://github.com/lagadic/visp/wiki/GSoC_2018,https://github.com/lagadic/visp/wiki/GSoC_2018#for-students-interested-in-applying
201,vitrivr,"java, angularjs, spark, grpc",1,https://vitrivr.org/gsoc.html#ideas,https://groups.google.com/forum/#!forum/vitrivr
202,webpack,"javascript, web development, html5/css3, node.js, webassembly",3,https://docs.google.com/document/d/17snmViHEAM3vhj6bf0nH0-i0so_rQf4PeK5OuCrXcV8/edit?usp=sharing,http://webpack.js.org
203,Wikimedia Foundation,"php, javascript, ruby on rails, android, reactjs",12,https://www.mediawiki.org/wiki/Google_Summer_of_Code/2018,https://wikimedia.zulipchat.com/#narrow/stream/gsoc18-outreachy16
204,WorldBrain.io - Verifying the Internet,"react, javascript, browser extension, datproject",3,https://github.com/WorldBrain/Memex/issues?q=is%3Aissue+is%3Aopen+label%3A%22GSoC+2018+Projects%22,http://join-worldbrain.herokuapp.com
205,X.org Foundation,"opengl, vulkan, x11, wayland, opencl",2,https://www.x.org/wiki/SummerOfCodeIdeas/,https://www.x.org/wiki/SummerOfCodeIdeas/
206,Xapian Search Engine Library,"c++, unicode, swig, linux, golang",2,https://trac.xapian.org/wiki/GSoCProjectIdeas,https://trac.xapian.org/wiki/GSoC_IRC
207,XBMC Foundation,"python, c/c++, github, mysql",2,http://kodi.wiki/view/Google_Summer_of_Code/2018,http://kodi.wiki/view/Kodi_related_projects_and_sites
208,Xi Editor Project,"rust, swift",3,http://google.github.io/xi-editor/gsoc.html,https://botbot.me/mozilla/xi/
209,xpra.org,"python, javascript, compression, remote access, cython",0,https://xpra.org/trac/wiki/ProjectIdeas,https://xpra.org/trac/wiki/Help
210,XWiki," java, javascript, html5, css3, velocity",3,http://gsoc.xwiki.org/,http://dev.xwiki.org/xwiki/bin/view/Community/Chat
211,Zulip,"python, django, javascript, react native, electron",10,https://zulip.readthedocs.io/en/latest/overview/gsoc-ideas.html,https://chat.zulip.org
